date,time,dt0,enddate,endtime,angle,width,speed,speedsigma,min_speed,max_speed,type,quality
2010/07/09,06:54:05.470,1,2010/07/09,09:30:05.565,73,8,512,713,267,1748,CME,1
2010/07/09,20:30:05.837,1,2010/07/10,02:30:05.394,53,12,331,107,161,438,CME,1
2010/07/10,09:32:27.854,3,2010/07/10,12:54:05.470,267,60,331,38,217,377,CME,1
2010/07/10,09:54:28.792,6,2010/07/10,18:06:05.459,59,72,179,40,101,240,CME,1
2010/07/10,13:54:05.517,2,2010/07/10,16:54:05.908,108,6,187,58,137,292,CME,1
2010/07/11,03:54:05.854,6,2010/07/11,09:54:05.517,257,88,258,33,186,332,CME,1
2010/07/11,07:54:05.604,0,2010/07/11,15:08:04.604,51,8,578,73,520,679,CME,1
2010/07/11,09:54:05.517,1,2010/07/11,15:30:05.489,55,12,614,479,528,1656,CME,1
2010/07/11,10:34:01.189,1,2010/07/11,14:30:06.830,48,10,381,87,231,496,CME,1
2010/07/16,03:30:05.815,1,2010/07/16,06:54:05.577,93,8,1517,298,1249,1953,CME,1
2010/07/16,10:54:05.415,3,2010/07/16,15:08:04.442,291,20,244,107,112,472,CME,1
2010/07/16,14:06:05.585,1,2010/07/16,16:54:05.471,295,12,344,185,153,710,CME,1
2010/07/17,23:30:05.427,2,2010/07/18,01:31:37.644,125,28,385,636,228,1487,CME,1
2010/07/19,07:54:05.809,2,2010/07/19,11:06:06.379,328,18,391,634,195,1488,CME,1
2010/07/20,08:06:05.458,1,2010/07/20,12:54:05.462,117,12,160,36,159,242,CME,1
2010/07/24,09:24:05.509,8,2010/07/24,09:36:05.402,267,48,180,84,115,363,CME,1
2010/07/28,00:36:05.508,1,2010/07/28,02:48:06.229,134,14,123,10,123,143,CME,1
2010/07/28,15:24:05.448,7,2010/07/28,21:24:05.405,100,58,227,81,121,343,CME,1
2010/08/05,23:26:45.436,1,2010/08/06,03:12:10.982,295,32,419,11,398,438,CME,1
2010/08/07,02:24:07.839,1,2010/08/07,06:12:05.483,292,22,683,689,236,1952,CME,1
2010/08/07,03:12:09.406,1,2010/08/07,05:36:06.908,296,22,544,51,422,589,CME,1
2010/08/07,09:24:05.453,1,2010/08/07,11:36:05.463,301,12,416,9,400,419,CME,1
2010/08/07,11:36:05.463,4,2010/08/07,16:36:06.458,254,70,202,54,106,355,CME,1
2010/08/07,12:12:06.438,1,2010/08/07,15:36:05.400,221,8,142,19,134,180,CME,1
2010/08/07,12:12:06.438,2,2010/08/07,17:00:05.442,247,56,205,69,138,328,CME,1
2010/08/07,18:36:06.877,2,2010/08/07,20:48:05.487,84,178,609,115,320,822,CME,1
2010/08/07,21:48:57.945,0,2010/08/07,23:48:05.565,115,16,490,6,484,500,CME,1
2010/08/10,05:12:05.916,2,2010/08/10,08:24:05.486,86,46,408,47,285,419,CME,1
2010/08/10,05:24:05.412,3,2010/08/10,08:36:05.578,299,28,556,175,134,637,CME,1
2010/08/14,10:12:05.705,2,2010/08/14,12:48:37.899,279,148,661,217,220,919,CME,1
2010/08/14,15:12:09.001,0,2010/08/14,16:12:05.761,248,10,534,28,508,595,CME,1
2010/08/15,06:48:06.764,1,2010/08/15,10:12:05.425,113,52,584,71,429,718,CME,1
2010/08/15,08:36:05.490,2,2010/08/15,11:36:05.568,304,74,238,56,135,347,CME,1
2010/08/15,08:36:05.490,1,2010/08/15,12:36:05.527,325,36,341,111,131,440,CME,1
2010/08/18,00:12:07.354,2,2010/08/18,04:24:05.582,307,64,325,105,138,520,CME,1
2010/08/18,05:48:05.425,0,2010/08/18,08:48:07.002,252,10,400,124,209,534,CME,1
2010/08/18,06:00:06.018,3,2010/08/18,08:00:07.035,283,132,798,247,404,1388,CME,1
2010/08/18,06:48:06.484,0,2010/08/18,08:48:07.002,359,28,1562,417,612,1953,CME,1
2010/08/18,06:48:06.484,1,2010/08/18,08:12:05.627,95,60,1329,492,374,2016,CME,1
2010/08/18,12:48:06.339,1,2010/08/18,14:48:05.458,101,8,437,164,428,744,CME,1
2010/08/24,01:36:06.523,1,2010/08/24,03:36:05.542,62,22,288,25,243,334,CME,1
2010/08/25,02:36:07.116,1,2010/08/25,02:48:05.508,353,8,330,37,281,393,CME,1
2010/08/27,08:24:06.526,2,2010/08/27,08:24:06.526,244,58,353,7,333,366,CME,1
2010/08/28,16:36:05.448,2,2010/08/28,16:48:06.040,324,30,142,7,132,160,CME,1
2010/08/31,20:24:06.989,2,2010/09/01,00:00:05.442,239,80,573,285,282,1133,CME,1
2010/09/01,22:12:06.040,1,2010/09/02,00:12:05.760,228,70,584,145,241,762,CME,1
2010/09/02,12:12:05.471,0,2010/09/02,13:36:18.015,229,24,420,112,249,569,CME,1
2010/09/02,20:48:07.722,4,2010/09/02,23:05:32.729,75,64,139,2,134,144,CME,1
2010/09/04,05:17:45.878,1,2010/09/04,06:31:12.328,344,34,165,12,143,176,CME,1
2010/09/04,07:57:54.869,0,2010/09/04,09:01:22.326,291,8,986,111,810,1084,CME,1
2010/09/04,15:12:09.074,3,2010/09/04,19:12:05.711,275,128,428,46,355,563,CME,1
2010/09/04,17:24:05.484,1,2010/09/04,20:24:05.768,333,12,636,99,434,710,CME,1
2010/09/04,20:00:06.378,1,2010/09/04,20:48:05.545,229,20,350,88,265,511,CME,1
2010/09/04,23:26:41.538,0,2010/09/05,00:48:05.482,267,8,196,36,143,255,CME,1
2010/09/05,16:00:06.363,1,2010/09/05,18:36:06.056,346,22,434,106,236,618,CME,1
2010/09/06,08:36:05.485,2,2010/09/06,11:48:05.554,295,12,419,36,355,469,CME,1
2010/09/06,08:48:06.377,1,2010/09/06,12:00:05.946,291,12,211,768,134,1785,CME,1
2010/09/07,16:12:05.431,2,2010/09/07,19:36:06.992,92,62,208,44,121,275,CME,1
2010/09/07,16:48:05.407,0,2010/09/07,19:24:05.500,66,10,264,18,264,304,CME,1
2010/09/08,10:48:05.473,0,2010/09/08,12:48:05.492,104,6,339,45,294,408,CME,1
2010/09/08,23:26:43.958,3,2010/09/09,02:36:06.429,277,116,697,65,575,818,CME,1
2010/09/09,23:16:16.150,1,2010/09/10,00:48:05.725,21,12,255,35,226,317,CME,1
2010/09/10,12:12:06.959,3,2010/09/10,16:48:06.297,310,34,231,115,99,440,CME,1
2010/09/10,18:36:05.523,1,2010/09/10,21:48:59.393,131,20,411,2,411,416,CME,1
2010/09/10,22:00:05.685,2,2010/09/11,02:00:06.722,264,6,471,464,339,1388,CME,1
2010/09/11,02:24:05.505,4,2010/09/11,05:48:06.067,36,142,335,72,171,484,CME,1
